Location,Latitude,Direction (Lat),Longitude,Direction (Long),Elevation (m)
Baguio,16.403992,N,120.60147,E,1510.08
Baler,15.748809,N,121.632028,E,173
Cabanatuan,15.470387,N,120.951143,E,32
Casiguran,16.265083,N,122.128888,E,4
Clark,15.1717,N,120.5616667,E,151.564
CLSU,15.73586,N,120.9368,E,7.6
Cubi,14.787679,N,120.266619,E,19.087
Dagupan,16.086784,N,120.352045,E,2
Iba,15.328408,N,119.965661,E,5.538
Sinait,17.89019,N,120.459762,E,58.129
Tuguegarao,17.647678,N,121.758469,E,62
